Nama ; Harga ; Info 
Rumah Bukit Palma Citraland Surabaya Barat Sebentar LagiGuys Siap Huni;1.175.000.000;Luas tanah : 60 m2 ;Luas bangunan : 90 m2 ;Lantai : 2;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : Lainnya  (PPJB,Girik,Adat,dll)
Rumah Minimalis di Griya Amerta Regency;650.000.000;Luas tanah : 60 m2 ;Luas bangunan : 50 m2 ;Lantai : 1;Kamar tidur : 1;Kamar mandi : 1;Sertifikasi : HGB - Hak Guna Bangun
Rumah Murah Di Perumahan Dasana Indah, Tangerang, Banten.;400.000.000;Luas tanah : 60 m2 ;Luas bangunan : 50 m2 ;Lantai : 1;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Disewakan bedeng per tahun dekat pgsd km5;6.500.000;Luas tanah : 18 m2 ;Luas bangunan : 17 m2 ;Lantai : 1;Kamar tidur : 1;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Rumah Bukit Palma Nort West Park;950.000.000;Luas tanah : 72 m2 ;Luas bangunan : 46 m2 ;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : Lainnya  (PPJB,Girik,Adat,dll)
Hunian Baru Lokasi Jl Purwosari Kawasan Krakatau;370.000.000;Luas tanah : 108 m2 ;Luas bangunan : 50 m2 ;Lantai : 1;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Rumah Manis 2 Lantai di Sariwangi Bandung;1.500.000.000;Luas tanah : 107 m2 ;Luas bangunan : 96 m2 ;Lantai : 2;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Jual Rumah Perum Eksklusif jalan Parangtritis ( AR 146 );900.000.000;Luas tanah : 133 m2 ;Luas bangunan : 70 m2 ;Lantai : 1;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : HGB - Hak Guna Bangun
Rumah STRATEGIS Langka MURAH Sutorejo Prima;1.390.000.000;Luas tanah : 135 m2 ;Luas bangunan : 110 m2 ;Lantai : 1;Kamar tidur : 2;Kamar mandi : 1
Dijual Town House Apartemen City Resort (bagian bawah) Uk.6x10 Semi Fu;750.000.000;Luas tanah : 60 m2 ;Luas bangunan : 60 m2 ;Kamar tidur : 2;Kamar mandi : 1
Rmh disewa diuleekareng 3 kmr;20.000.000;Luas tanah : 200 m2 ;Luas bangunan : 100 m2 ;Lantai : 1;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Rumah murah siap bangun di Suryodiningratan Mantrijeron dekat Alkid;800.000.000;Luas tanah : 103 m2 ;Luas bangunan : 65 m2 ;Lantai : 1;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : HGB - Hak Guna Bangun
Murah rumahnya mewah desainnya di bintaro;550.000.000;Luas tanah : 50 m2 ;Luas bangunan : 45 m2 ;Lantai : 2;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Astoria Park Second Minimalis Tropical Full Furniture;3.600.000.000;Luas tanah : 180 m2 ;Luas bangunan : 220 m2 ;Lantai : 2;Kamar tidur : 4;Kamar mandi : 3;Sertifikasi : Lainnya  (PPJB,Girik,Adat,dll)
Rumah Baru Savia Visana BSD CITY Serpong Akses Kereta |;1.430.000.000;Luas tanah : 84 m2 ;Luas bangunan : 87 m2 ;Lantai : 2;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Dijual cepat rumah sisa tembok di Permhn Villa Pamulang-Tangsel(BU);535.000.000;Luas tanah : 128 m2 ;Luas bangunan : 80 m2 ;Lantai : 1;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
